team1,team2,toss_winner,toss_decision,winner
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
